matchYear,matchID,leftTeam,leftScore,rightTeam,rightScore,refName,leftPenalties,rightPenalties
2012,301,Rebels,17,Reds,32,Keith Brown,13,9
2012,302,Crusaders,22,Hurricanes,23,Bryce Lawrence,9,12
2012,303,Force,17,Brumbies,28,Ian Smith,12,12
2012,304,Stormers,27,Lions,17,Mark Lawrence,7,13
2012,305,Bulls,40,Cheetahs,24,Marius Jonker,12,7
2012,306,Chiefs,21,Crusaders,28,Steve Walsh,7,12
2012,307,Reds,19,Highlanders,13,Jonathan Kaplan,17,10
2012,312,Sharks,32,Bulls,10,Jaco Peyper,6,9
2012,308,Blues,32,Force,9,Andrew Lees,12,9
2012,309,NSW Waratahs,15,Brumbies,19,Keith Brown,7,13
2012,310,Cheetahs,6,Stormers,13,Marius Jonker,9,9
2012,311,Lions,37,Rebels,32,Francisco Pastrana,12,8
2012,313,Hurricanes,28,Chiefs,25,Jonathan Kaplan,12,12
2012,314,Brumbies,16,Blues,30,Jonathon White,7,12
2012,315,Crusaders,38,Force,24,Glen Jackson,18,10
2012,316,Reds,32,NSW Waratahs,16,Steve Walsh,13,10
2012,317,Stormers,26,Rebels,21,Lourens van der merwe,11,11
2012,318,Sharks,34,Cheetahs,15,Jaco Peyper,14,12
2012,319,Bulls,37,Lions,20,Craig Joubert,15,11
2012,320,Crusaders,28,Bulls,13,Jaco Peyper,8,12
2012,321,Reds,17,Sharks,30,Jonathan Kaplan,4,12
2012,322,Chiefs,20,Crusaders,17,Craig Joubert,14,11
2012,323,Stormers,19,Sharks,26,Steve Walsh,5,12
2012,324,Chiefs,37,Sharks,6,Steve Walsh,7,6
2013,11,Rebels,30,Force,23,Angus Gardner,11,11
2013,12,Brumbies,24,Reds,6,Andrew Lees,8,13
2013,21,Highlanders,27,Chiefs,41,Steve Walsh,10,10
2013,22,Rebels,13,Brumbies,30,James Leckie,11,13
2013,23,Bulls,25,Stormers,17,Jaco Peyper,10,6
2013,24,Hurricanes,20,Blues,34,Glen Jackson,9,5
2013,25,Reds,25,Waratahs,17,Chris Pollock,10,7
2013,26,Cheetahs,22,Sharks,29,Jonathan Kaplan,7,7
2013,27,Kings,22,Force,10,Lourens van der merwe,11,10
2013,31,Blues,34,Crusaders,15,Chris Pollock,7,11
2013,34,Waratahs,31,Rebels,26,Rohan Hoffmann,11,15
2013,32,Reds,18,Hurricanes,12,Steve Walsh,11,14
2013,33,Chiefs,45,Cheetahs,3,Michael Fraser,11,9
2013,35,Bulls,36,Force,26,Jason Jaftha,6,11
2013,36,Sharks,12,Stormers,6,Jonathan Kaplan,10,13
2013,41,Hurricanes,29,Crusaders,28,Andrew Lees,3,11
2013,42,Rebels,13,Reds,23,Francisco Pastrana,7,9
2013,43,Highlanders,19,Cheetahs,36,Nick Briant,10,13
2013,44,Brumbies,35,Waratahs,6,Jonathon White,15,10
2013,45,Stormers,36,Chiefs,34,Jaco Peyper,7,12
2013,46,Kings,12,Sharks,21,Jason Jaftha,12,13
2013,47,Blues,21,Bulls,28,Garratt Williamson,8,7
2013,51,Highlanders,19,Hurricanes,23,Francisco Pastrana,6,10
2013,52,Waratahs,26,Cheetahs,27,Garratt Williamson,5,11
